待翻译: 17922 条 (样本=0, 限制=0)
共 1793 批, 并发 6
进度 10/17922 | 输入 609 tok | 输出 322 tok | 费用 ¥0.0013 | 2s
进度 5880/17922 | 输入 870153 tok | 输出 662803 tok | 费用 ¥2.1958 | 656s
进度 5890/17922 | 输入 870966 tok | 输出 663317 tok | 费用 ¥2.1976 | 657s
进度 5900/17922 | 输入 871777 tok | 输出 663836 tok | 费用 ¥2.1994 | 658s
进度 5910/17922 | 输入 872492 tok | 输出 664222 tok | 费用 ¥2.2009 | 658s
进度 5920/17922 | 输入 873434 tok | 输出 664835 tok | 费用 ¥2.2031 | 659s
进度 5930/17922 | 输入 874739 tok | 输出 665782 tok | 费用 ¥2.2063 | 659s
进度 5940/17922 | 输入 875439 tok | 输出 666168 tok | 费用 ¥2.2078 | 660s
进度 5950/17922 | 输入 876454 tok | 输出 666862 tok | 费用 ¥2.2102 | 660s
进度 5960/17922 | 输入 877279 tok | 输出 667379 tok | 费用 ¥2.2120 | 660s
进度 5970/17922 | 输入 878220 tok | 输出 667995 tok | 费用 ¥2.2142 | 661s
进度 5980/17922 | 输入 879035 tok | 输出 668498 tok | 费用 ¥2.2160 | 662s
进度 5990/17922 | 输入 879847 tok | 输出 668973 tok | 费用 ¥2.2178 | 663s
进度 6000/17922 | 输入 880933 tok | 输出 669742 tok | 费用 ¥2.2204 | 663s
进度 6010/17922 | 输入 881720 tok | 输出 670216 tok | 费用 ¥2.2222 | 664s
进度 6020/17922 | 输入 882729 tok | 输出 670868 tok | 费用 ¥2.2245 | 664s
进度 6030/17922 | 输入 883606 tok | 输出 671414 tok | 费用 ¥2.2264 | 665s
进度 6040/17922 | 输入 884453 tok | 输出 671940 tok | 费用 ¥2.2283 | 665s
进度 6050/17922 | 输入 885533 tok | 输出 672674 tok | 费用 ¥2.2309 | 668s
进度 6060/17922 | 输入 886306 tok | 输出 673127 tok | 费用 ¥2.2326 | 668s
进度 6070/17922 | 输入 887340 tok | 输出 673839 tok | 费用 ¥2.2350 | 668s
进度 6080/17922 | 输入 888461 tok | 输出 674585 tok | 费用 ¥2.2376 | 668s
进度 6090/17922 | 输入 889459 tok | 输出 675231 tok | 费用 ¥2.2399 | 668s
进度 6100/17922 | 输入 890303 tok | 输出 675762 tok | 费用 ¥2.2418 | 668s
进度 6110/17922 | 输入 891107 tok | 输出 676252 tok | 费用 ¥2.2436 | 671s
进度 6120/17922 | 输入 891838 tok | 输出 676661 tok | 费用 ¥2.2452 | 671s
进度 6130/17922 | 输入 892752 tok | 输出 677269 tok | 费用 ¥2.2473 | 671s
进度 6140/17922 | 输入 893780 tok | 输出 678000 tok | 费用 ¥2.2498 | 671s
进度 6150/17922 | 输入 894906 tok | 输出 678808 tok | 费用 ¥2.2525 | 672s
进度 6160/17922 | 输入 896126 tok | 输出 679710 tok | 费用 ¥2.2555 | 672s
进度 6170/17922 | 输入 896923 tok | 输出 680183 tok | 费用 ¥2.2573 | 674s
进度 6180/17922 | 输入 897820 tok | 输出 680741 tok | 费用 ¥2.2593 | 674s
进度 6190/17922 | 输入 898402 tok | 输出 681030 tok | 费用 ¥2.2605 | 674s
进度 6200/17922 | 输入 899493 tok | 输出 681778 tok | 费用 ¥2.2630 | 676s
进度 6210/17922 | 输入 900658 tok | 输出 682588 tok | 费用 ¥2.2658 | 676s
进度 6220/17922 | 输入 901326 tok | 输出 682951 tok | 费用 ¥2.2672 | 676s
进度 6230/17922 | 输入 902069 tok | 输出 683363 tok | 费用 ¥2.2688 | 676s
进度 6240/17922 | 输入 902765 tok | 输出 683747 tok | 费用 ¥2.2703 | 677s
进度 6250/17922 | 输入 904152 tok | 输出 684786 tok | 费用 ¥2.2737 | 678s
进度 6260/17922 | 输入 904986 tok | 输出 685312 tok | 费用 ¥2.2756 | 680s
进度 6270/17922 | 输入 905941 tok | 输出 685959 tok | 费用 ¥2.2779 | 680s
进度 6280/17922 | 输入 906784 tok | 输出 686479 tok | 费用 ¥2.2797 | 680s
进度 6290/17922 | 输入 907605 tok | 输出 686945 tok | 费用 ¥2.2815 | 681s
进度 6300/17922 | 输入 908818 tok | 输出 687853 tok | 费用 ¥2.2845 | 682s
进度 6310/17922 | 输入 909445 tok | 输出 688193 tok | 费用 ¥2.2858 | 682s
进度 6320/17922 | 输入 910145 tok | 输出 688603 tok | 费用 ¥2.2874 | 682s
进度 6330/17922 | 输入 911557 tok | 输出 689676 tok | 费用 ¥2.2909 | 683s
进度 6340/17922 | 输入 912409 tok | 输出 690227 tok | 费用 ¥2.2929 | 683s
进度 6350/17922 | 输入 913053 tok | 输出 690570 tok | 费用 ¥2.2942 | 683s
进度 6360/17922 | 输入 913858 tok | 输出 691071 tok | 费用 ¥2.2960 | 686s
进度 6370/17922 | 输入 914965 tok | 输出 691873 tok | 费用 ¥2.2987 | 686s
进度 6380/17922 | 输入 916049 tok | 输出 692663 tok | 费用 ¥2.3014 | 687s
进度 6390/17922 | 输入 917223 tok | 输出 693509 tok | 费用 ¥2.3042 | 688s
进度 6400/17922 | 输入 918494 tok | 输出 694426 tok | 费用 ¥2.3073 | 688s
进度 6410/17922 | 输入 919695 tok | 输出 695258 tok | 费用 ¥2.3102 | 688s
进度 6420/17922 | 输入 920491 tok | 输出 695733 tok | 费用 ¥2.3120 | 689s
进度 6430/17922 | 输入 921404 tok | 输出 696291 tok | 费用 ¥2.3140 | 690s
进度 6440/17922 | 输入 922271 tok | 输出 696834 tok | 费用 ¥2.3159 | 691s
进度 6450/17922 | 输入 923147 tok | 输出 697384 tok | 费用 ¥2.3179 | 691s
进度 6460/17922 | 输入 924276 tok | 输出 698194 tok | 费用 ¥2.3207 | 691s
进度 6470/17922 | 输入 925312 tok | 输出 698887 tok | 费用 ¥2.3231 | 692s
进度 6480/17922 | 输入 926151 tok | 输出 699415 tok | 费用 ¥2.3250 | 692s
进度 6490/17922 | 输入 926900 tok | 输出 699835 tok | 费用 ¥2.3266 | 694s
进度 6500/17922 | 输入 927649 tok | 输出 700309 tok | 费用 ¥2.3283 | 694s
进度 6510/17922 | 输入 928806 tok | 输出 701142 tok | 费用 ¥2.3311 | 695s
进度 6520/17922 | 输入 929904 tok | 输出 701915 tok | 费用 ¥2.3337 | 696s
进度 6530/17922 | 输入 930838 tok | 输出 702562 tok | 费用 ¥2.3360 | 697s
进度 6540/17922 | 输入 931832 tok | 输出 703272 tok | 费用 ¥2.3384 | 697s
进度 6550/17922 | 输入 932692 tok | 输出 703821 tok | 费用 ¥2.3403 | 698s
进度 6560/17922 | 输入 933435 tok | 输出 704252 tok | 费用 ¥2.3419 | 698s
进度 6570/17922 | 输入 934587 tok | 输出 705110 tok | 费用 ¥2.3448 | 699s
进度 6580/17922 | 输入 935635 tok | 输出 705824 tok | 费用 ¥2.3473 | 701s
进度 6590/17922 | 输入 936742 tok | 输出 706580 tok | 费用 ¥2.3499 | 701s
进度 6600/17922 | 输入 937668 tok | 输出 707193 tok | 费用 ¥2.3521 | 702s
进度 6610/17922 | 输入 939276 tok | 输出 708435 tok | 费用 ¥2.3561 | 703s
进度 6620/17922 | 输入 940048 tok | 输出 708895 tok | 费用 ¥2.3578 | 704s
进度 6630/17922 | 输入 940940 tok | 输出 709447 tok | 费用 ¥2.3598 | 705s
进度 6640/17922 | 输入 941711 tok | 输出 709921 tok | 费用 ¥2.3616 | 705s
进度 6650/17922 | 输入 942663 tok | 输出 710571 tok | 费用 ¥2.3638 | 707s
进度 6660/17922 | 输入 944681 tok | 输出 712205 tok | 费用 ¥2.3691 | 707s
进度 6670/17922 | 输入 945515 tok | 输出 712732 tok | 费用 ¥2.3710 | 708s
进度 6680/17922 | 输入 947988 tok | 输出 714813 tok | 费用 ¥2.3776 | 709s
进度 6690/17922 | 输入 949143 tok | 输出 715632 tok | 费用 ¥2.3804 | 709s
进度 6700/17922 | 输入 950189 tok | 输出 716339 tok | 费用 ¥2.3829 | 709s
进度 6710/17922 | 输入 951124 tok | 输出 716949 tok | 费用 ¥2.3850 | 711s
进度 6720/17922 | 输入 952132 tok | 输出 717618 tok | 费用 ¥2.3874 | 712s
进度 6730/17922 | 输入 953062 tok | 输出 718257 tok | 费用 ¥2.3896 | 712s
进度 6740/17922 | 输入 954035 tok | 输出 718933 tok | 费用 ¥2.3919 | 713s
进度 6750/17922 | 输入 954979 tok | 输出 719581 tok | 费用 ¥2.3941 | 713s
进度 6760/17922 | 输入 955994 tok | 输出 720301 tok | 费用 ¥2.3966 | 713s
进度 6770/17922 | 输入 956926 tok | 输出 720943 tok | 费用 ¥2.3988 | 714s
进度 6780/17922 | 输入 957898 tok | 输出 721639 tok | 费用 ¥2.4012 | 716s
进度 6790/17922 | 输入 958592 tok | 输出 722031 tok | 费用 ¥2.4027 | 716s
进度 6800/17922 | 输入 959289 tok | 输出 722432 tok | 费用 ¥2.4042 | 716s
进度 6810/17922 | 输入 960281 tok | 输出 723118 tok | 费用 ¥2.4065 | 716s
进度 6820/17922 | 输入 961182 tok | 输出 723726 tok | 费用 ¥2.4086 | 717s
进度 6830/17922 | 输入 961881 tok | 输出 724097 tok | 费用 ¥2.4101 | 718s
进度 6840/17922 | 输入 962832 tok | 输出 724748 tok | 费用 ¥2.4123 | 720s
进度 6850/17922 | 输入 964264 tok | 输出 725872 tok | 费用 ¥2.4160 | 720s
进度 6860/17922 | 输入 965392 tok | 输出 726683 tok | 费用 ¥2.4188 | 721s
进度 6870/17922 | 输入 966367 tok | 输出 727295 tok | 费用 ¥2.4210 | 723s
进度 6880/17922 | 输入 967901 tok | 输出 728469 tok | 费用 ¥2.4248 | 723s
进度 6890/17922 | 输入 969361 tok | 输出 729574 tok | 费用 ¥2.4285 | 724s
进度 6900/17922 | 输入 970278 tok | 输出 730191 tok | 费用 ¥2.4307 | 725s
进度 6910/17922 | 输入 972204 tok | 输出 731704 tok | 费用 ¥2.4356 | 728s
进度 6920/17922 | 输入 973340 tok | 输出 732526 tok | 费用 ¥2.4384 | 728s
进度 6930/17922 | 输入 975099 tok | 输出 733961 tok | 费用 ¥2.4430 | 728s
进度 6940/17922 | 输入 976368 tok | 输出 734995 tok | 费用 ¥2.4464 | 730s
进度 6950/17922 | 输入 978101 tok | 输出 736375 tok | 费用 ¥2.4509 | 731s
进度 6960/17922 | 输入 979590 tok | 输出 737658 tok | 费用 ¥2.4549 | 733s
进度 6970/17922 | 输入 981174 tok | 输出 738917 tok | 费用 ¥2.4590 | 735s
进度 6980/17922 | 输入 982689 tok | 输出 740214 tok | 费用 ¥2.4631 | 736s
进度 6990/17922 | 输入 984077 tok | 输出 741293 tok | 费用 ¥2.4667 | 736s
进度 7000/17922 | 输入 986309 tok | 输出 743373 tok | 费用 ¥2.4731 | 739s
进度 7010/17922 | 输入 987923 tok | 输出 744695 tok | 费用 ¥2.4773 | 739s
进度 7020/17922 | 输入 989287 tok | 输出 745712 tok | 费用 ¥2.4807 | 739s
进度 7030/17922 | 输入 990278 tok | 输出 746375 tok | 费用 ¥2.4830 | 740s
进度 7040/17922 | 输入 991393 tok | 输出 747183 tok | 费用 ¥2.4858 | 741s
进度 7050/17922 | 输入 993138 tok | 输出 748633 tok | 费用 ¥2.4904 | 743s
进度 7060/17922 | 输入 994087 tok | 输出 749257 tok | 费用 ¥2.4926 | 744s
进度 7070/17922 | 输入 995442 tok | 输出 750252 tok | 费用 ¥2.4959 | 745s
进度 7080/17922 | 输入 997848 tok | 输出 752177 tok | 费用 ¥2.5022 | 749s
进度 7090/17922 | 输入 999569 tok | 输出 753492 tok | 费用 ¥2.5066 | 751s
进度 7100/17922 | 输入 1002477 tok | 输出 755947 tok | 费用 ¥2.5144 | 752s
进度 7110/17922 | 输入 1004353 tok | 输出 757416 tok | 费用 ¥2.5192 | 753s
进度 7120/17922 | 输入 1006837 tok | 输出 759451 tok | 费用 ¥2.5257 | 755s
进度 7130/17922 | 输入 1008494 tok | 输出 760733 tok | 费用 ¥2.5300 | 759s
进度 7140/17922 | 输入 1012562 tok | 输出 764373 tok | 费用 ¥2.5413 | 760s
进度 7150/17922 | 输入 1014781 tok | 输出 766240 tok | 费用 ¥2.5473 | 760s
进度 7160/17922 | 输入 1016294 tok | 输出 767384 tok | 费用 ¥2.5511 | 760s
进度 7170/17922 | 输入 1017996 tok | 输出 768763 tok | 费用 ¥2.5555 | 762s
进度 7180/17922 | 输入 1020258 tok | 输出 770592 tok | 费用 ¥2.5614 | 763s
进度 7190/17922 | 输入 1021685 tok | 输出 771611 tok | 费用 ¥2.5649 | 765s
进度 7200/17922 | 输入 1023010 tok | 输出 772546 tok | 费用 ¥2.5681 | 765s
进度 7210/17922 | 输入 1024543 tok | 输出 773701 tok | 费用 ¥2.5719 | 767s
进度 7220/17922 | 输入 1026148 tok | 输出 774936 tok | 费用 ¥2.5760 | 770s
进度 7230/17922 | 输入 1028319 tok | 输出 776730 tok | 费用 ¥2.5818 | 770s
进度 7240/17922 | 输入 1030269 tok | 输出 778268 tok | 费用 ¥2.5868 | 772s
进度 7250/17922 | 输入 1031272 tok | 输出 778939 tok | 费用 ¥2.5892 | 774s
进度 7260/17922 | 输入 1033612 tok | 输出 780849 tok | 费用 ¥2.5953 | 777s
进度 7270/17922 | 输入 1036665 tok | 输出 783399 tok | 费用 ¥2.6035 | 779s
进度 7280/17922 | 输入 1039362 tok | 输出 785690 tok | 费用 ¥2.6107 | 779s
进度 7290/17922 | 输入 1040700 tok | 输出 786669 tok | 费用 ¥2.6140 | 780s
进度 7300/17922 | 输入 1042781 tok | 输出 788285 tok | 费用 ¥2.6194 | 781s
进度 7310/17922 | 输入 1044046 tok | 输出 789168 tok | 费用 ¥2.6224 | 782s
进度 7320/17922 | 输入 1045102 tok | 输出 789873 tok | 费用 ¥2.6248 | 783s
进度 7330/17922 | 输入 1048489 tok | 输出 792793 tok | 费用 ¥2.6341 | 786s
进度 7340/17922 | 输入 1050996 tok | 输出 794912 tok | 费用 ¥2.6408 | 790s
进度 7350/17922 | 输入 1053563 tok | 输出 796983 tok | 费用 ¥2.6475 | 790s
进度 7360/17922 | 输入 1055694 tok | 输出 798662 tok | 费用 ¥2.6530 | 791s
进度 7370/17922 | 输入 1058463 tok | 输出 800946 tok | 费用 ¥2.6604 | 793s
进度 7380/17922 | 输入 1060821 tok | 输出 802853 tok | 费用 ¥2.6665 | 796s
进度 7390/17922 | 输入 1062480 tok | 输出 804100 tok | 费用 ¥2.6707 | 798s
进度 7400/17922 | 输入 1064014 tok | 输出 805278 tok | 费用 ¥2.6746 | 798s
进度 7410/17922 | 输入 1065481 tok | 输出 806360 tok | 费用 ¥2.6782 | 800s
进度 7420/17922 | 输入 1069241 tok | 输出 809611 tok | 费用 ¥2.6885 | 800s
进度 7430/17922 | 输入 1070637 tok | 输出 810631 tok | 费用 ¥2.6919 | 804s
进度 7440/17922 | 输入 1071684 tok | 输出 811348 tok | 费用 ¥2.6944 | 804s
进度 7450/17922 | 输入 1075009 tok | 输出 814115 tok | 费用 ¥2.7032 | 806s
进度 7460/17922 | 输入 1076650 tok | 输出 815378 tok | 费用 ¥2.7074 | 807s
进度 7470/17922 | 输入 1079645 tok | 输出 817871 tok | 费用 ¥2.7154 | 810s
进度 7480/17922 | 输入 1080832 tok | 输出 818706 tok | 费用 ¥2.7182 | 811s
进度 7490/17922 | 输入 1083895 tok | 输出 821255 tok | 费用 ¥2.7264 | 812s
进度 7500/17922 | 输入 1085717 tok | 输出 822735 tok | 费用 ¥2.7312 | 812s
进度 7510/17922 | 输入 1087408 tok | 输出 824044 tok | 费用 ¥2.7355 | 812s
进度 7520/17922 | 输入 1089126 tok | 输出 825361 tok | 费用 ¥2.7398 | 815s
进度 7530/17922 | 输入 1090411 tok | 输出 826260 tok | 费用 ¥2.7429 | 815s
进度 7540/17922 | 输入 1091669 tok | 输出 827158 tok | 费用 ¥2.7460 | 816s
进度 7550/17922 | 输入 1093624 tok | 输出 828638 tok | 费用 ¥2.7509 | 820s
进度 7560/17922 | 输入 1095698 tok | 输出 830165 tok | 费用 ¥2.7560 | 821s
进度 7570/17922 | 输入 1097882 tok | 输出 831761 tok | 费用 ¥2.7614 | 822s
进度 7580/17922 | 输入 1100837 tok | 输出 834226 tok | 费用 ¥2.7693 | 829s
进度 7590/17922 | 输入 1103985 tok | 输出 836921 tok | 费用 ¥2.7778 | 830s
进度 7600/17922 | 输入 1106495 tok | 输出 838968 tok | 费用 ¥2.7844 | 831s
进度 7610/17922 | 输入 1110376 tok | 输出 842295 tok | 费用 ¥2.7950 | 832s
进度 7620/17922 | 输入 1113402 tok | 输出 844876 tok | 费用 ¥2.8032 | 834s
进度 7630/17922 | 输入 1114673 tok | 输出 845802 tok | 费用 ¥2.8063 | 836s
进度 7640/17922 | 输入 1118227 tok | 输出 848783 tok | 费用 ¥2.8158 | 837s
进度 7650/17922 | 输入 1120066 tok | 输出 850120 tok | 费用 ¥2.8203 | 840s
进度 7660/17922 | 输入 1121180 tok | 输出 850884 tok | 费用 ¥2.8229 | 841s
进度 7670/17922 | 输入 1122866 tok | 输出 852195 tok | 费用 ¥2.8273 | 841s
进度 7680/17922 | 输入 1124081 tok | 输出 853111 tok | 费用 ¥2.8303 | 843s
进度 7690/17922 | 输入 1127335 tok | 输出 855881 tok | 费用 ¥2.8391 | 844s
进度 7700/17922 | 输入 1128788 tok | 输出 856993 tok | 费用 ¥2.8428 | 846s
进度 7710/17922 | 输入 1130233 tok | 输出 858095 tok | 费用 ¥2.8464 | 847s
进度 7720/17922 | 输入 1134410 tok | 输出 861767 tok | 费用 ¥2.8579 | 848s
进度 7730/17922 | 输入 1135330 tok | 输出 862372 tok | 费用 ¥2.8601 | 848s
进度 7740/17922 | 输入 1136490 tok | 输出 863204 tok | 费用 ¥2.8629 | 851s
进度 7750/17922 | 输入 1137606 tok | 输出 863988 tok | 费用 ¥2.8656 | 852s
进度 7760/17922 | 输入 1139771 tok | 输出 865764 tok | 费用 ¥2.8713 | 853s
进度 7770/17922 | 输入 1140848 tok | 输出 866514 tok | 费用 ¥2.8739 | 853s
进度 7780/17922 | 输入 1143880 tok | 输出 869053 tok | 费用 ¥2.8820 | 854s
进度 7790/17922 | 输入 1145584 tok | 输出 870342 tok | 费用 ¥2.8863 | 856s
进度 7800/17922 | 输入 1146700 tok | 输出 871130 tok | 费用 ¥2.8890 | 857s
进度 7810/17922 | 输入 1148281 tok | 输出 872347 tok | 费用 ¥2.8930 | 858s
进度 7820/17922 | 输入 1148992 tok | 输出 872743 tok | 费用 ¥2.8945 | 860s
进度 7830/17922 | 输入 1150912 tok | 输出 874183 tok | 费用 ¥2.8993 | 860s
进度 7840/17922 | 输入 1151669 tok | 输出 874627 tok | 费用 ¥2.9009 | 861s
进度 7850/17922 | 输入 1153403 tok | 输出 875959 tok | 费用 ¥2.9053 | 862s
进度 7860/17922 | 输入 1154263 tok | 输出 876493 tok | 费用 ¥2.9072 | 863s
进度 7870/17922 | 输入 1156610 tok | 输出 878330 tok | 费用 ¥2.9133 | 864s
进度 7880/17922 | 输入 1157773 tok | 输出 879128 tok | 费用 ¥2.9160 | 865s
进度 7890/17922 | 输入 1158810 tok | 输出 879806 tok | 费用 ¥2.9184 | 866s
进度 7900/17922 | 输入 1159638 tok | 输出 880321 tok | 费用 ¥2.9203 | 867s
进度 7910/17922 | 输入 1162179 tok | 输出 882512 tok | 费用 ¥2.9272 | 867s
进度 7920/17922 | 输入 1163471 tok | 输出 883442 tok | 费用 ¥2.9304 | 867s
进度 7930/17922 | 输入 1165137 tok | 输出 884717 tok | 费用 ¥2.9346 | 871s
进度 7940/17922 | 输入 1166626 tok | 输出 885848 tok | 费用 ¥2.9383 | 872s
进度 7950/17922 | 输入 1168125 tok | 输出 887150 tok | 费用 ¥2.9424 | 874s
进度 7960/17922 | 输入 1170150 tok | 输出 888709 tok | 费用 ¥2.9476 | 875s
进度 7970/17922 | 输入 1171826 tok | 输出 890055 tok | 费用 ¥2.9519 | 875s
进度 7980/17922 | 输入 1173778 tok | 输出 891521 tok | 费用 ¥2.9568 | 875s
进度 7990/17922 | 输入 1175598 tok | 输出 892940 tok | 费用 ¥2.9615 | 879s
进度 8000/17922 | 输入 1176877 tok | 输出 893840 tok | 费用 ¥2.9646 | 880s
进度 8010/17922 | 输入 1178216 tok | 输出 894884 tok | 费用 ¥2.9680 | 880s
进度 8020/17922 | 输入 1180219 tok | 输出 896493 tok | 费用 ¥2.9732 | 880s
进度 8030/17922 | 输入 1181821 tok | 输出 897708 tok | 费用 ¥2.9772 | 883s
进度 8040/17922 | 输入 1182507 tok | 输出 898105 tok | 费用 ¥2.9787 | 883s
进度 8050/17922 | 输入 1183360 tok | 输出 898649 tok | 费用 ¥2.9807 | 886s
进度 8060/17922 | 输入 1184904 tok | 输出 899805 tok | 费用 ¥2.9845 | 887s
进度 8070/17922 | 输入 1187809 tok | 输出 902186 tok | 费用 ¥2.9922 | 888s
进度 8080/17922 | 输入 1189826 tok | 输出 903765 tok | 费用 ¥2.9974 | 888s
进度 8090/17922 | 输入 1192181 tok | 输出 905637 tok | 费用 ¥3.0035 | 889s
进度 8100/17922 | 输入 1193983 tok | 输出 907088 tok | 费用 ¥3.0082 | 891s
进度 8110/17922 | 输入 1194853 tok | 输出 907696 tok | 费用 ¥3.0102 | 892s
进度 8120/17922 | 输入 1195757 tok | 输出 908324 tok | 费用 ¥3.0124 | 892s
进度 8130/17922 | 输入 1196926 tok | 输出 909175 tok | 费用 ¥3.0153 | 892s
进度 8140/17922 | 输入 1198225 tok | 输出 910134 tok | 费用 ¥3.0185 | 894s
进度 8150/17922 | 输入 1200142 tok | 输出 911632 tok | 费用 ¥3.0234 | 895s
进度 8160/17922 | 输入 1201006 tok | 输出 912162 tok | 费用 ¥3.0253 | 895s
进度 8170/17922 | 输入 1201997 tok | 输出 912854 tok | 费用 ¥3.0277 | 896s
进度 8180/17922 | 输入 1203140 tok | 输出 913654 tok | 费用 ¥3.0304 | 897s
进度 8190/17922 | 输入 1203816 tok | 输出 914064 tok | 费用 ¥3.0319 | 897s
进度 8200/17922 | 输入 1204500 tok | 输出 914461 tok | 费用 ¥3.0334 | 897s
进度 8210/17922 | 输入 1205250 tok | 输出 914952 tok | 费用 ¥3.0352 | 898s
进度 8220/17922 | 输入 1207022 tok | 输出 916385 tok | 费用 ¥3.0398 | 899s
进度 8230/17922 | 输入 1207869 tok | 输出 916929 tok | 费用 ¥3.0417 | 900s
进度 8240/17922 | 输入 1208730 tok | 输出 917451 tok | 费用 ¥3.0436 | 900s
进度 8250/17922 | 输入 1210166 tok | 输出 918545 tok | 费用 ¥3.0473 | 905s
进度 8260/17922 | 输入 1212293 tok | 输出 920375 tok | 费用 ¥3.0530 | 906s
进度 8270/17922 | 输入 1214761 tok | 输出 922487 tok | 费用 ¥3.0597 | 908s
进度 8280/17922 | 输入 1215920 tok | 输出 923312 tok | 费用 ¥3.0625 | 910s
进度 8290/17922 | 输入 1218843 tok | 输出 925795 tok | 费用 ¥3.0704 | 913s
进度 8300/17922 | 输入 1220572 tok | 输出 927164 tok | 费用 ¥3.0749 | 914s
进度 8310/17922 | 输入 1221947 tok | 输出 928188 tok | 费用 ¥3.0783 | 916s
进度 8320/17922 | 输入 1223093 tok | 输出 928991 tok | 费用 ¥3.0811 | 919s
进度 8330/17922 | 输入 1224648 tok | 输出 930147 tok | 费用 ¥3.0849 | 919s
进度 8340/17922 | 输入 1228747 tok | 输出 933711 tok | 费用 ¥3.0962 | 919s
进度 8350/17922 | 输入 1232181 tok | 输出 936641 tok | 费用 ¥3.1055 | 923s
进度 8360/17922 | 输入 1237234 tok | 输出 941089 tok | 费用 ¥3.1194 | 926s
进度 8370/17922 | 输入 1238224 tok | 输出 941740 tok | 费用 ¥3.1217 | 927s
进度 8380/17922 | 输入 1240273 tok | 输出 943334 tok | 费用 ¥3.1269 | 927s
进度 8390/17922 | 输入 1242717 tok | 输出 945332 tok | 费用 ¥3.1334 | 928s
进度 8400/17922 | 输入 1244092 tok | 输出 946370 tok | 费用 ¥3.1368 | 931s
进度 8410/17922 | 输入 1247350 tok | 输出 949170 tok | 费用 ¥3.1457 | 933s
进度 8420/17922 | 输入 1250373 tok | 输出 951703 tok | 费用 ¥3.1538 | 933s
进度 8430/17922 | 输入 1252850 tok | 输出 953740 tok | 费用 ¥3.1603 | 937s
进度 8440/17922 | 输入 1254322 tok | 输出 954873 tok | 费用 ¥3.1641 | 938s
进度 8450/17922 | 输入 1255747 tok | 输出 955923 tok | 费用 ¥3.1676 | 938s
进度 8460/17922 | 输入 1257959 tok | 输出 957749 tok | 费用 ¥3.1735 | 938s
进度 8470/17922 | 输入 1259382 tok | 输出 958804 tok | 费用 ¥3.1770 | 938s
进度 8480/17922 | 输入 1262071 tok | 输出 961101 tok | 费用 ¥3.1843 | 939s
进度 8490/17922 | 输入 1263082 tok | 输出 961785 tok | 费用 ¥3.1867 | 942s
进度 8500/17922 | 输入 1264046 tok | 输出 962443 tok | 费用 ¥3.1889 | 942s
进度 8510/17922 | 输入 1265394 tok | 输出 963434 tok | 费用 ¥3.1923 | 943s
进度 8520/17922 | 输入 1266557 tok | 输出 964234 tok | 费用 ¥3.1950 | 944s
进度 8530/17922 | 输入 1267888 tok | 输出 965147 tok | 费用 ¥3.1982 | 944s
进度 8540/17922 | 输入 1269486 tok | 输出 966416 tok | 费用 ¥3.2023 | 946s
进度 8550/17922 | 输入 1272032 tok | 输出 968399 tok | 费用 ¥3.2088 | 954s
进度 8560/17922 | 输入 1274301 tok | 输出 970154 tok | 费用 ¥3.2146 | 955s
进度 8570/17922 | 输入 1277150 tok | 输出 972461 tok | 费用 ¥3.2221 | 956s
进度 8580/17922 | 输入 1280387 tok | 输出 975052 tok | 费用 ¥3.2305 | 957s
进度 8590/17922 | 输入 1282926 tok | 输出 977038 tok | 费用 ¥3.2370 | 958s
进度 8600/17922 | 输入 1286477 tok | 输出 979968 tok | 费用 ¥3.2464 | 958s
进度 8610/17922 | 输入 1288609 tok | 输出 981606 tok | 费用 ¥3.2518 | 964s
进度 8620/17922 | 输入 1290573 tok | 输出 983108 tok | 费用 ¥3.2568 | 965s
进度 8630/17922 | 输入 1292446 tok | 输出 984520 tok | 费用 ¥3.2615 | 966s
进度 8640/17922 | 输入 1295014 tok | 输出 986527 tok | 费用 ¥3.2681 | 966s
进度 8650/17922 | 输入 1297100 tok | 输出 988079 tok | 费用 ¥3.2733 | 967s
进度 8660/17922 | 输入 1299468 tok | 输出 989968 tok | 费用 ¥3.2794 | 968s
进度 8670/17922 | 输入 1300238 tok | 输出 990402 tok | 费用 ¥3.2810 | 969s
进度 8680/17922 | 输入 1301434 tok | 输出 991240 tok | 费用 ¥3.2839 | 970s
进度 8690/17922 | 输入 1302355 tok | 输出 991836 tok | 费用 ¥3.2860 | 971s
进度 8700/17922 | 输入 1303516 tok | 输出 992600 tok | 费用 ¥3.2887 | 972s
进度 8710/17922 | 输入 1304886 tok | 输出 993596 tok | 费用 ¥3.2921 | 974s
进度 8720/17922 | 输入 1307096 tok | 输出 995356 tok | 费用 ¥3.2978 | 975s
进度 8730/17922 | 输入 1308377 tok | 输出 996258 tok | 费用 ¥3.3009 | 976s
进度 8740/17922 | 输入 1309508 tok | 输出 997046 tok | 费用 ¥3.3036 | 977s
进度 8750/17922 | 输入 1311708 tok | 输出 998784 tok | 费用 ¥3.3093 | 977s
进度 8760/17922 | 输入 1313301 tok | 输出 999962 tok | 费用 ¥3.3132 | 977s
进度 8770/17922 | 输入 1313918 tok | 输出 1000293 tok | 费用 ¥3.3145 | 979s
进度 8780/17922 | 输入 1315280 tok | 输出 1001256 tok | 费用 ¥3.3178 | 982s
进度 8790/17922 | 输入 1316752 tok | 输出 1002358 tok | 费用 ¥3.3215 | 984s
